310,016,us,Leap Wireless International Inc.
311,090,us,Unknown
310,040,us,Matanuska Tel. Assn. Inc.
310,780,us,Message Express Co. / Airlink PCS
311,660,us,Unknown
311,330,us,Michigan Wireless LLC
311,000,us,Unknown
310,400,us,Minnesota South. Wirel. Co. / Hickory
311,920,us,Missouri RSA No 5 Partnership
311,020,us,Missouri RSA No 5 Partnership
311,010,us,Missouri RSA No 5 Partnership
312,220,us,Missouri RSA No 5 Partnership
312,010,us,Missouri RSA No 5 Partnership
310,350,us,Mohave Cellular LP
310,570,us,MTPCS LLC
310,290,us,NEP Cellcorp Inc.
311,380,us,Unknown
310,600,us,New-Cell Inc.
311,100,us,Unknown
311,300,us,Nexus Communications Inc.
310,130,us,North Carolina RSA 3 Cellular Tel. Co.
311,610,us,North Dakota Network Company
312,230,us,North Dakota Network Company
310,450,us,Northeast Colorado Cellular Inc.
311,710,us,Northeast Wireless Networks LLC
310,670,us,Northstar
310,011,us,Northstar
311,420,us,Northwest Missouri Cellular Limited Partnership
310,540,us,Unknown
310,760,us,Panhandle Telephone Cooperative Inc.
310,580,us,PCS ONE
311,170,us,PetroCom
311,670,us,Pine Belt Cellular,Inc.
311,080,us,Unknown
310,790,us,Unknown
310,100,us,Plateau Telecommunications Inc.
310,940,us,Poka Lambro Telco Ltd.
311,540,us,Unknown
311,730,us,Unknown
310,500,us,Public Service Cellular Inc.
312,160,us,RSA 1 Limited Partnership
311,430,us,RSA 1 Limited Partnership
311,350,us,Sagebrush Cellular Inc.
311,910,us,Unknown
311,260,us,SLO Cellular Inc / Cellular One of San Luis
310,320,us,Smith Bagley Inc.
316,011,us,Southern Communications Services Inc.
312,530,us,Sprint Spectrum
310,120,us,Sprint Spectrum
316,010,us,Sprint Spectrum
312,190,us,Sprint Spectrum
311,880,us,Sprint Spectrum
311,870,us,Sprint Spectrum
311,490,us,Sprint Spectrum
310,240,us,T-Mobile
310,660,us,T-Mobile
310,230,us,T-Mobile
310,220,us,T-Mobile
310,270,us,T-Mobile
310,210,us,T-Mobile
310,260,us,T-Mobile
310,200,us,T-Mobile
310,250,us,T-Mobile
310,160,us,T-Mobile
310,280,us,T-Mobile
310,330,us,T-Mobile
310,800,us,T-Mobile
310,300,us,T-Mobile
310,310,us,T-Mobile
311,740,us,Unknown
310,740,us,Telemetrix Inc.
310,950,us,Unknown
310,860,us,Texas RSA 15B2 Limited Partnership
311,050,us,Thumb Cellular Limited Partnership
311,830,us,Thumb Cellular Limited Partnership
310,460,us,TMP Corporation
310,490,us,Triton PCS
312,290,us,Uintah Basin Electronics Telecommunications Inc.
311,860,us,Uintah Basin Electronics Telecommunications Inc.
310,960,us,Uintah Basin Electronics Telecommunications Inc.
310,020,us,Union Telephone Co.
311,220,us,United States Cellular Corp.
310,730,us,United States Cellular Corp.
311,650,us,United Wireless Communications Inc.
310,520,us,VeriSign
310,003,us,Unknown
310,530,us,West Virginia Wireless
310,340,us,Westlink Communications,LLC
311,150,us,Unknown
311,070,us,States 1 Wisconsin RSA #7 Limited Partnership
374,120,tt,1868 Bmobile/TSTT
374,130,tt,1868 Digicel
374,140,tt,1868 LaqTel Ltd.
376,350,tc,Cable & Wireless (TCI) Ltd
376,050,tc,Digicel TCI Ltd
376,352,tc,IslandCom Communications Ltd.
360,100,vc,1784 Cingular
360,050,vc,1784 Digicel
360,110,vc,1784 C & W
358,110,lc,1758 Cable & Wireless
356,110,kn,1869 Cable & Wireless
330,110,pr,Puerto Rico Telephone Company Inc. (PRTC)
242,017,no,47 Ventelo AS
362,951,an,599 UTS Wireless
362,630,an,599 Cingular Wireless
502,198,my,60 CelCom
502,153,my,60 Packet One Networks (Malaysia) Sdn Bhd
502,155,my,60 Samata Communications Sdn Bhd
502,154,my,60 Talk Focus Sdn Bhd
502,195,my,60 XOX Com Sdn Bhd
502,152,my,60 YES
334,050,mx,52 IUSACell/UneFon
334,040,mx,52 IUSACell/UneFon
334,030,mx,52 Movistar/Pegaso
334,090,mx,52 NEXTEL
334,010,mx,52 NEXTEL
334,080,mx,52 Operadora Unefon SA de CV
334,070,mx,52 Operadora Unefon SA de CV
334,060,mx,52 SAI PCS
334,020,mx,52 TelCel/America Movil
354,860,ms,1664 Cable & Wireless
502,151,my,60 Baraka Telecom Sdn Bhd
467,193,kp,N.,Dem. People's Rep. 850 Sun Net
338,110,jm,1876 Cable & Wireless
338,020,jm,1876 Cable & Wireless
338,180,jm,1876 Cable & Wireless
338,050,jm,1876 DIGICEL/Mossel
405,034,in,91 TATA / Karnataka
404,045,in,91 Bharti Airtel Limited (Karnataka) (India)
708,040,hn,504 Digicel
708,030,hn,504 HonduTel
708,001,hn,504 SERCOM/CLARO
708,002,hn,504 Telefonica/CELTEL
310,470,gu,1671 Docomo
310,370,gu,1671 Docomo
310,140,gu,1671 GTA Wireless
310,033,gu,1671 Guam Teleph. Auth.
310,032,gu,1671 IT&E OverSeas
311,250,gu,1671 Wave Runner LLC
352,110,gd,1473 Cable & Wireless
352,030,gd,1473 Digicel
352,050,gd,1473 Digicel
750,001,fk,500 Cable and Wireless South Atlantic Ltd (Falkland Islands
366,110,dm,1767 C & W
366,020,dm,1767 Cingular Wireless/Digicel
366,050,dm,1767 Wireless Ventures (Dominica) Ltd (Digicel Dominica)
732,130,co,57 Avantel SAS
732,102,co,57 Movistar
732,103,co,57 TIGO/Colombia Movil
732,001,co,57 TIGO/Colombia Movil
732,101,co,57 Comcel S.A. Occel S.A./Celcaribe
732,002,co,57 Edatel S.A.
732,123,co,57 Movistar
732,111,co,57 TIGO/Colombia Movil
732,142,co,57 UNE EPM Telecomunicaciones SA ESP
732,020,co,57 UNE EPM Telecomunicaciones SA ESP
732,154,co,57 Virgin Mobile Colombia SAS
346,050,ky,1345 Digicel Cayman Ltd
346,006,ky,1345 Digicel Ltd.
346,140,ky,1345 LIME / Cable & Wirel.
302,652,ca,BC Tel Mobility
302,630,ca,Bell Aliant
302,610,ca,Bell Mobility
302,651,ca,Bell Mobility
302,670,ca,CityWest Mobility
302,361,ca,Clearnet
302,360,ca,Clearnet
302,380,ca,DMTS Mobility
302,710,ca,Globalstar Canada
302,640,ca,Latitude Wireless
302,370,ca,FIDO (Rogers AT&T/ Microcell)
302,320,ca,mobilicity
302,702,ca,MT&T Mobility
302,655,ca,MTS Mobility
302,660,ca,MTS Mobility
302,701,ca,NB Tel Mobility
302,703,ca,New Tel Mobility
302,760,ca,Public Mobile
302,657,ca,Quebectel Mobility
302,720,ca,Rogers AT&T Wireless
302,654,ca,Sask Tel Mobility
302,680,ca,Sask Tel Mobility
302,656,ca,Tbay Mobility
302,653,ca,Telus Mobility
302,220,ca,Telus Mobility
302,500,ca,Videotron
302,490,ca,WIND
348,570,vg,284 Caribbean Cellular
348,770,vg,284 Digicel
348,170,vg,284 LIME
350,000,bm,1441 Bermuda Digital Communications Ltd (BDC)
365,010,ai,1264 Digicell / Wireless Vent. Ltd
344,030,ag,1268 APUA PCS
344,920,ag,1268 C & W
344,930,ag,1268 DigiCel/Cing. Wireless
722,310,ar,54 Claro/ CTI/AMX
722,330,ar,54 Claro/ CTI/AMX
722,320,ar,54 Claro/ CTI/AMX
722,010,ar,54 Compania De Radiocomunicaciones Moviles SA
722,070,ar,54 Movistar/Telefonica
722,020,ar,54 Nextel
722,341,ar,54 Telecom Personal S.A.
364,390,bs,1242 Bahamas Telco. Comp.
342,600,bb,1246 C & W BET Ltd.
342,810,bb,1246 Cingular Wireless
342,750,bb,1246 Digicel
342,050,bb,1246 Digicel
342,820,bb,1246 Sunbeach
289,68,ge,7 A-Mobile
289,88,ge,7 A-Mobile
289,67,ge,7 Aquafon
412,88,af,93 Afghan Telecom Corp. (AT)
412,80,af,93 Afghan Telecom Corp. (AT)
412,01,af,93 Afghan Wireless/AWCC
412,40,af,93 Areeba/MTN
412,50,af,93 Etisalat
412,20,af,93 Roshan/TDCA
412,03,af,93 WaselTelecom (WT)
276,01,al,355 AMC/Cosmote
276,03,al,355 Eagle Mobile
276,04,al,355 PLUS Communication Sh.a
276,02,al,355 Vodafone
603,01,dz,213 ATM Mobils
603,02,dz,213 Orascom / DJEZZY
603,03,dz,213 Oreedo/Wataniya / Nedjma
544,11,as,684 Blue Sky Communications
213,03,ad,376 Mobiland
631,04,ao,244 MoviCel
631,02,ao,244 Unitel
283,01,am,374 ArmenTel/Beeline
283,04,am,374 Karabakh Telecom
283,10,am,374 Orange
283,05,am,374 Vivacell
363,20,aw,297 Digicel
363,02,aw,297 Digicel
363,01,aw,297 Setar GSM
505,14,au,61 AAPT Ltd.
505,24,au,61 Advanced Comm Tech Pty.
505,09,au,61 Airnet Commercial Australia Ltd..
505,04,au,61 Department of Defense
505,26,au,61 Dialogue Communications Pty Ltd
505,12,au,61 H3G Ltd.
505,06,au,61 H3G Ltd.
505,88,au,61 Localstar Holding Pty. Ltd
505,19,au,61 Lycamobile Pty Ltd
505,08,au,61 Railcorp/Vodafone
505,99,au,61 Railcorp/Vodafone
505,13,au,61 Railcorp/Vodafone
505,90,au,61 Singtel Optus
505,02,au,61 Singtel Optus
505,71,au,61 Telstra Corp. Ltd.
505,01,au,61 Telstra Corp. Ltd.
505,11,au,61 Telstra Corp. Ltd.
505,72,au,61 Telstra Corp. Ltd.
505,05,au,61 The Ozitel Network Pty.
505,16,au,61 Victorian Rail Track Corp. (VicTrack)
505,07,au,61 Vodafone
505,03,au,61 Vodafone
232,11,at,43 A1 MobilKom
232,02,at,43 A1 MobilKom
232,09,at,43 A1 MobilKom
232,01,at,43 A1 MobilKom
232,15,at,43 T-Mobile/Telering
232,10,at,43 H3G
232,14,at,43 H3G
232,05,at,43 3/Orange/One Connect
232,12,at,43 3/Orange/One Connect
232,06,at,43 3/Orange/One Connect
232,17,at,43 Spusu/Mass Response
232,07,at,43 T-Mobile/Telering
232,04,at,43 T-Mobile/Telering
232,03,at,43 T-Mobile/Telering
232,08,at,43 A1 MobilKom
400,01,az,994 Azercell Telekom B.M.
400,04,az,994 Azerfon.
400,03,az,994 Caspian American Telecommunications LLC (CATEL)
400,02,az,994 J.V. Bakcell GSM 2000
364,30,bs,1242 Bahamas Telco. Comp.
364,39,bs,1242 Bahamas Telco. Comp.
364,03,bs,1242 Smart Communications
426,01,bh,973 Batelco
426,02,bh,973 ZAIN/Vodafone
426,04,bh,973 VIVA
470,02,bd,880 Robi/Aktel
470,05,bd,880 Citycell
470,06,bd,880 Citycell
470,01,bd,880 GrameenPhone
470,03,bd,880 Orascom/Banglalink
470,04,bd,880 TeleTalk
470,07,bd,880 Airtel/Warid
257,03,by,375 BelCel JV
257,04,by,375 BeST
257,01,by,375 Mobile Digital Communications
257,02,by,375 MTS
206,20,be,32 Base/KPN
206,01,be,32 Belgacom/Proximus
206,06,be,32 Lycamobile Belgium
206,10,be,32 Mobistar/Orange
206,02,be,32 SNCT/NMBS
206,05,be,32 Telenet BidCo NV
702,67,bz,501 DigiCell
702,68,bz,501 International Telco (INTELCO)
616,04,bj,229 Bell Benin/BBCOM
616,02,bj,229 Etisalat/MOOV
616,05,bj,229 GloMobile
616,01,bj,229 Libercom
616,03,bj,229 MTN/Spacetel
350,99,bm,1441 CellOne Ltd
350,10,bm,1441 DigiCel / Cingular
350,02,bm,1441 M3 Wireless Ltd
350,01,bm,1441 Telecommunications (Bermuda & West Indies) Ltd (Digicel Bermuda)
402,11,bt,975 B-Mobile
402,17,bt,975 Bhutan Telecom Ltd (BTL)
402,77,bt,975 TashiCell
736,02,bo,591 Entel Pcs
736,01,bo,591 Nuevatel
736,03,bo,591 TELECEL BOLIVIA
218,90,ba,387 BH Mobile
218,03,ba,387 Eronet Mobile
218,05,ba,387 M-Tel
652,04,bw,267 BeMOBILE
652,01,bw,267 Mascom Wireless (Pty) Ltd.
652,02,bw,267 Orange
724,12,br,55 Claro/Albra/America Movil
724,38,br,55 Claro/Albra/America Movil
724,05,br,55 Claro/Albra/America Movil
724,01,br,55 Vivo S.A./Telemig
724,34,br,55 CTBC Celular SA (CTBC)
724,33,br,55 CTBC Celular SA (CTBC)
724,32,br,55 CTBC Celular SA (CTBC)
724,08,br,55 TIM
724,39,br,55 Nextel (Telet)
724,00,br,55 Nextel (Telet)
724,31,br,55 Oi (TNL PCS / Oi)
724,16,br,55 Brazil Telcom
724,24,br,55 Amazonia Celular S/A
724,30,br,55 Oi (TNL PCS / Oi)
724,54,br,55 PORTO SEGURO TELECOMUNICACOES
724,15,br,55 Sercontel Cel
724,07,br,55 CTBC/Triangulo
724,19,br,55 Vivo S.A./Telemig
724,03,br,55 TIM
724,02,br,55 TIM
724,04,br,55 TIM
724,37,br,55 Unicel do Brasil Telecomunicacoes Ltda
724,06,br,55 Vivo S.A./Telemig
724,23,br,55 Vivo S.A./Telemig
724,11,br,55 Vivo S.A./Telemig
724,10,br,55 Vivo S.A./Telemig
528,02,bn,673 b-mobile
528,11,bn,673 Datastream (DTSCom)
528,01,bn,673 Telekom Brunei Bhd (TelBru)
284,06,bg,359 BTC Mobile EOOD (vivatel)
284,03,bg,359 BTC Mobile EOOD (vivatel)
284,05,bg,359 Telenor/Cosmo/Globul
284,01,bg,359 MobilTel AD
613,03,bf,226 TeleCel
613,01,bf,226 TeleMob-OnaTel
613,02,bf,226 Airtel/ZAIN/CelTel
642,02,bi,257 Africel / Safaris
642,08,bi,257 Lumitel/Viettel
642,03,bi,257 Onatel / Telecel
642,07,bi,257 Smart Mobile / LACELL
642,01,bi,257 Spacetel / Econet / Leo
642,82,bi,257 Spacetel / Econet / Leo
456,04,kh,855 Cambodia Advance Communications Co. Ltd (CADCOMMS)
456,02,kh,855 Smart Mobile
456,08,kh,855 Metfone
456,18,kh,855 MFone/Camshin/Cellcard
456,01,kh,855 Mobitel/Cam GSM
456,03,kh,855 QB/Cambodia Adv. Comms.
456,06,kh,855 Smart Mobile
456,05,kh,855 Smart Mobile
456,09,kh,855 Sotelco/Beeline
624,01,cm,237 MTN
624,04,cm,237 Nextel
624,02,cm,237 Orange
625,01,cv,238 CV Movel
625,02,cv,238 T+ Telecom
623,01,cf,236 Centrafr. Telecom+
623,04,cf,236 Nationlink
623,03,cf,236 Orange/Celca
623,02,cf,236 Telecel Centraf.
622,04,td,235 Salam/Sotel
622,02,td,235 Tchad Mobile
622,03,td,235 Tigo/Milicom/Tchad Mobile
622,01,td,235 Airtel/ZAIN/Celtel
730,06,cl,56 Blue Two Chile SA
730,11,cl,56 Celupago SA
730,15,cl,56 Cibeles Telecom SA
730,03,cl,56 Claro
730,10,cl,56 Entel Telefonia
730,01,cl,56 Entel Telefonia Mov
730,14,cl,56 Netline Telefonica Movil Ltda
730,09,cl,56 Nextel SA
730,05,cl,56 Nextel SA
730,04,cl,56 Nextel SA
730,02,cl,56 TELEFONICA
730,07,cl,56 TELEFONICA
730,12,cl,56 Telestar Movil SA
730,00,cl,56 TESAM SA
730,13,cl,56 Tribe Mobile SPA
730,08,cl,56 VTR Banda Ancha SA
460,00,cn,86 China Mobile GSM
460,07,cn,86 China Mobile GSM
460,02,cn,86 China Mobile GSM
460,04,cn,86 China Space Mobile Satellite Telecommunications Co. Ltd (China Spacecom)
460,05,cn,86 China Telecom
460,03,cn,86 China Telecom
460,06,cn,86 China Unicom
460,01,cn,86 China Unicom
654,01,km,269 HURI - SNPT
630,90,cd,243 Africell
630,86,cd,243 Orange RDC sarl
630,05,cd,243 SuperCell
630,89,cd,243 TIGO/Oasis
630,01,cd,243 Vodacom
630,88,cd,243 Yozma Timeturns sprl (YTT)
630,02,cd,243 Airtel/ZAIN
629,01,cg,242 Airtel SA
629,02,cg,242 Azur SA (ETC)
629,10,cg,242 MTN/Libertis
629,07,cg,242 Warid
548,01,ck,682 Telecom Cook Islands
712,03,cr,506 Claro
712,02,cr,506 ICE
712,01,cr,506 ICE
712,04,cr,506 Movistar
712,20,cr,506 Virtualis
219,01,hr,385 T-Mobile/Cronet
219,02,hr,385 Tele2
219,10,hr,385 VIPnet d.o.o.
368,01,cu,53 C-COM
362,95,cw,599 EOCG Wireless NV
362,69,cw,599 Polycom N.V./ Digicel
280,10,cy,357 MTN/Areeba
280,20,cy,357 PrimeTel PLC
280,01,cy,357 Vodafone/CyTa
230,08,cz,420 Compatel s.r.o.
230,02,cz,420 O2
230,01,cz,420 T-Mobile / RadioMobil
230,05,cz,420 Travel Telekommunikation s.r.o.
230,04,cz,420 Ufone
230,99,cz,420 Vodafone
230,03,cz,420 Vodafone
238,05,dk,45 ApS KBUS
238,23,dk,45 Banedanmark
238,28,dk,45 CoolTEL ApS
238,06,dk,45 H3G
238,12,dk,45 Lycamobile Ltd
238,03,dk,45 Mach Connectivity ApS
238,07,dk,45 Mundio Mobile
238,04,dk,45 NextGen Mobile Ltd (CardBoardFish)
238,10,dk,45 TDC Denmark
238,01,dk,45 TDC Denmark
238,77,dk,45 Telenor/Sonofon
238,02,dk,45 Telenor/Sonofon
238,20,dk,45 Telia
238,30,dk,45 Telia
638,01,dj,253 Djibouti Telecom SA (Evatis)
370,02,do,1809 Claro
370,01,do,1809 Orange
370,03,do,1809 TRIcom
370,04,do,1809 Trilogy Dominicana S. A.
740,02,ec,593 Alegro/Telcsa
740,00,ec,593 MOVISTAR/OteCel
740,01,ec,593 Porta/Conecel
602,01,eg,20 EMS - Mobinil
602,03,eg,20 ETISALAT
602,02,eg,20 Vodafone/Mirsfone
706,01,sv,503 CLARO/CTE
706,02,sv,503 Digicel
706,05,sv,503 INTELFON SA de CV
706,04,sv,503 Telefonica
706,03,sv,503 Telemovil
627,03,gq,240 HiTs-GE
627,01,gq,240 ORANGE/GETESA
657,01,er,291 Eritel
248,01,ee,372 EMT GSM
248,02,ee,372 Radiolinja Eesti
248,03,ee,372 Tele2 Eesti AS
248,04,ee,372 Top Connect OU
636,01,et,251 ETH/MTN
288,03,fo,298 Edge Mobile Sp/F
288,01,fo,298 Faroese Telecom
288,02,fo,298 Kall GSM
542,02,fj,679 DigiCell
542,01,fj,679 Vodafone
244,14,fi,358 Alands
244,26,fi,358 Compatel Ltd
244,13,fi,358 DNA/Finnet
244,12,fi,358 DNA/Finnet
244,04,fi,358 DNA/Finnet
244,03,fi,358 DNA/Finnet
244,21,fi,358 Elisa/Saunalahti
244,05,fi,358 Elisa/Saunalahti
244,82,fi,358 ID-Mobile
244,11,fi,358 Mundio Mobile (Finland) Ltd
244,09,fi,358 Nokia Oyj
244,10,fi,358 TDC Oy Finland
244,91,fi,358 TeliaSonera
208,27,fr,33 AFONE SA
208,92,fr,33 Association Plate-forme Telecom
208,28,fr,33 Astrium
208,20,fr,33 Bouygues Telecom
208,88,fr,33 Bouygues Telecom
208,21,fr,33 Bouygues Telecom
208,14,fr,33 Lliad/FREE Mobile
208,07,fr,33 GlobalStar
208,06,fr,33 GlobalStar
208,05,fr,33 GlobalStar
208,29,fr,33 Orange
208,17,fr,33 Legos - Local Exchange Global Operation Services SA
208,16,fr,33 Lliad/FREE Mobile
208,15,fr,33 Lliad/FREE Mobile
208,25,fr,33 Lycamobile SARL
208,24,fr,33 MobiquiThings
208,03,fr,33 MobiquiThings
208,31,fr,33 Mundio Mobile (France) Ltd
208,26,fr,33 NRJ
208,89,fr,33 Virgin Mobile/Omer
208,23,fr,33 Virgin Mobile/Omer
208,91,fr,33 Orange
208,02,fr,33 Orange
208,01,fr,33 Orange
208,11,fr,33 S.F.R.
208,13,fr,33 S.F.R.
208,10,fr,33 S.F.R.
208,09,fr,33 S.F.R.
208,04,fr,33 SISTEER
208,00,fr,33 Tel/Tel
208,22,fr,33 Transatel SA
340,20,fg,594 Bouygues/DigiCel
340,01,fg,594 Orange Caribe
340,02,fg,594 Outremer Telecom
340,11,fg,594 TelCell GSM
340,03,fg,594 TelCell GSM
547,15,pf,689 Pacific Mobile Telecom (PMT)
547,20,pf,689 Vini/Tikiphone
628,04,ga,241 Azur/Usan S.A.
628,01,ga,241 Libertis S.A.
628,02,ga,241 MOOV/Telecel
628,03,ga,241 Airtel/ZAIN/Celtel Gabon S.A.
607,02,gm,220 Africel
607,03,gm,220 Comium
607,01,gm,220 Gamcel
607,04,gm,220 Q-Cell
282,01,ge,995 Geocell Ltd.
282,03,ge,995 Iberiatel Ltd.
282,02,ge,995 Magti GSM Ltd.
282,04,ge,995 MobiTel/Beeline
282,05,ge,995 Silknet
262,17,de,49 E-Plus
262,10,de,49 DB Netz AG
262,77,de,49 E-Plus
262,03,de,49 E-Plus
262,05,de,49 E-Plus
262,12,de,49 E-Plus
262,20,de,49 E-Plus
262,14,de,49 Group 3G UMTS
262,43,de,49 Lycamobile
262,13,de,49 Mobilcom
262,11,de,49 O2
262,08,de,49 O2
262,07,de,49 O2
262,06,de,49 T-mobile/Telekom
262,01,de,49 T-mobile/Telekom
262,16,de,49 Telogic/ViStream
262,09,de,49 Vodafone D2
262,42,de,49 Vodafone D2
262,04,de,49 Vodafone D2
262,02,de,49 Vodafone D2
620,04,gh,233 Expresso Ghana Ltd
620,07,gh,233 GloMobile
620,03,gh,233 Milicom/Tigo
620,01,gh,233 MTN
620,02,gh,233 Vodafone
620,06,gh,233 Airtel/ZAIN
266,06,gi,350 CTS Mobile
266,09,gi,350 eazi telecom
266,01,gi,350 Gibtel GSM
202,07,gr,30 AMD Telecom SA
202,01,gr,30 Cosmote
202,02,gr,30 Cosmote
202,14,gr,30 CyTa Mobile
202,04,gr,30 Organismos Sidirodromon Ellados (OSE)
202,03,gr,30 OTE Hellenic Telecommunications Organization SA
202,09,gr,30 Tim/Wind
202,10,gr,30 Tim/Wind
202,05,gr,30 Vodafone
290,01,gl,299 Tele Greenland
340,08,gp,590 Dauphin Telecom SU (Guadeloupe Telecom)
340,10,gp,590
704,01,gt,502 SERCOM
704,03,gt,502 Telefonica
704,02,gt,502 TIGO/COMCEL
611,04,gn,224 MTN/Areeba
611,05,gn,224 Celcom
611,03,gn,224 Intercel
611,01,gn,224 Orange/Sonatel/Spacetel
611,02,gn,224 SotelGui
632,01,gw,245 GuineTel
632,03,gw,245 Orange
632,02,gw,245 SpaceTel
738,02,gy,592 Cellink Plus
738,01,gy,592 DigiCel
372,01,ht,509 Comcel
372,02,ht,509 Digicel
372,03,ht,509 National Telecom SA (NatCom)
454,28,hk,852 China Mobile/Peoples
454,13,hk,852 China Mobile/Peoples
454,12,hk,852 China Mobile/Peoples
454,09,hk,852 China Motion
454,07,hk,852 China Unicom Ltd
454,11,hk,852 China-HongKong Telecom Ltd (CHKTL)
454,01,hk,852 Citic Telecom Ltd.
454,00,hk,852 CSL Ltd.
454,18,hk,852 CSL Ltd.
454,02,hk,852 CSL Ltd.
454,10,hk,852 CSL/New World PCS Ltd.
454,05,hk,852 H3G/Hutchinson
454,04,hk,852 H3G/Hutchinson
454,03,hk,852 H3G/Hutchinson
454,14,hk,852 H3G/Hutchinson
454,19,hk,852 HKT/PCCW
454,20,hk,852 HKT/PCCW
454,29,hk,852 HKT/PCCW
454,16,hk,852 HKT/PCCW
454,47,hk,852 shared by private TETRA systems
454,40,hk,852 shared by private TETRA systems
454,08,hk,852 Truephone
454,06,hk,852 Vodafone/SmarTone
454,17,hk,852 Vodafone/SmarTone
454,15,hk,852 Vodafone/SmarTone
216,01,hu,36 Pannon/Telenor
216,30,hu,36 T-mobile/Magyar
216,71,hu,36 UPC Magyarorszag Kft.
216,70,hu,36 Vodafone
274,09,is,354 Amitelo
274,07,is,354 IceCell
274,08,is,354 Siminn
274,01,is,354 Siminn
274,11,is,354 NOVA
274,04,is,354 VIKING/IMC
274,05,is,354 Vodafone/Tal hf
274,02,is,354 Vodafone/Tal hf
274,03,is,354 Vodafone/Tal hf
404,33,in,91 Aircel
404,29,in,91 Aircel
404,28,in,91 Aircel
404,25,in,91 Aircel
404,17,in,91 Aircel
404,42,in,91 Aircel
404,01,in,91 Aircel Digilink India
404,15,in,91 Aircel Digilink India
404,60,in,91 Aircel Digilink India
405,53,in,91 AirTel
404,86,in,91 Barakhamba Sales & Serv.
404,13,in,91 Barakhamba Sales & Serv.
404,80,in,91 BSNL
404,57,in,91 BSNL
404,73,in,91 BSNL
404,34,in,91 BSNL
